"MMWR_week","Recip_State","SumOfSeries_Complete_Yes"
20,"NE",5448143.00
20,"NH",3068907.00
20,"NJ",27472274.00
20,"NM",6633793.00
20,"NV",7422935.00
20,"NY",59510921.00
20,"OH",31262945.00
20,"OK",9296353.00
20,"OR",11878507.00
20,"PA",35975314.00
20,"RI",3563232.00
20,"SC",11710420.00
20,"SD",2563844.00
20,"TN",15105875.00
20,"TX",0.00
20,"UT",6787205.00
20,"VA",24826638.00
20,"VT",2107162.00
20,"WA",22160276.00
20,"WI",17292525.00
20,"WV",4178991.00
20,"WY",1248970.00
21,"AK",1993639.00
21,"AL",9961396.00
21,"AR",6476710.00
21,"AZ",18845373.00
21,"CA",116868107.00
21,"CO",17919610.00
21,"CT",13060200.00
21,"DC",2259499.00
21,"DE",2871725.00
21,"FL",58407949.00
21,"GA",22985829.00
21,"HI",0.00
21,"IA",9511800.00
21,"ID",4089963.00
21,"IL",35226296.00
21,"IN",17231393.00
21,"KS",7751759.00
21,"KY",11955042.00
21,"LA",10168875.00
21,"MA",24865301.00
21,"MD",19664481.00
